id,created_at,author_id,text,clean_text,code
1283331905346142208,2020-07-15 09:25:44+00:00,1315508486,@matcha_chai was there even a plate on the back of the car?,was there even a plate on the back of the car?,-1
1283332603676889089,2020-07-15 09:28:30+00:00,20835728,"@matcha_chai Odds are they're DHS.

#ThisIsWhatFascismLooksLike
#AbolishPolice
#AbolishICE 
#AbolishDHS","Odds are they're DHS.

#ThisIsWhatFascismLooksLike
#AbolishPolice
#AbolishICE 
#AbolishDHS",-1
1283335188643078145,2020-07-15 09:38:46+00:00,1149001506684669952,@matcha_chai @brianorwhatevr Weird AF!!!,Weird AF!!!,-1
1283336306228031488,2020-07-15 09:43:13+00:00,59222066,@matcha_chai That was so weird and happened so fast. They didn't even cuff the person or restrain them and drove away so quickly... what the hell was that?!,That was so weird and happened so fast. They didn't even cuff the person or restrain them and drove away so quickly... what the hell was that?!,-1
1283337938013569025,2020-07-15 09:49:42+00:00,980888591957045248,"@matcha_chai After seeing a video that started from the beginning of when they snatched me, it's clear that they are not saying anything they're just grabbing.","After seeing a video that started from the beginning of when they snatched me, it's clear that they are not saying anything they're just grabbing.",-1
1283338716426178562,2020-07-15 09:52:47+00:00,914198305760071681,@matcha_chai Warrants?,Warrants?,-1
1283339033880535042,2020-07-15 09:54:03+00:00,914198305760071681,@matcha_chai Use your words?  STFU?  Seriously?  The aren’t 2 year olds. Lol,Use your words?  STFU?  Seriously?  The aren’t 2 year olds. Lol,-1
1283339208921358336,2020-07-15 09:54:45+00:00,914198305760071681,"@matcha_chai Maybe, just maybe it isn’t your business?","Maybe, just maybe it isn’t your business?",-1
1283347350354890752,2020-07-15 10:27:06+00:00,16499925,@matcha_chai Where is this happening at? Is that a rental car? Has anyone identified the agency that is doing this? Where are the captured individuals taken?,Where is this happening at? Is that a rental car? Has anyone identified the agency that is doing this? Where are the captured individuals taken?,-1
1283347652382298113,2020-07-15 10:28:18+00:00,7493212,@matcha_chai The guy didn’t question it at all. Almost like he was expecting this.,The guy didn’t question it at all. Almost like he was expecting this.,-1
1283347980620378112,2020-07-15 10:29:36+00:00,2208904670,"@matcha_chai Arrest junkies needed a fix. They had not made their hourly quota. Used to be called ""stop and frisk"", now its ""bust and beat.""","Arrest junkies needed a fix. They had not made their hourly quota. Used to be called ""stop and frisk"", now its ""bust and beat.""",-1
1283350103160324096,2020-07-15 10:38:02+00:00,1281153864557686784,@matcha_chai Feds don't F around.,Feds don't F around.,-1
1283351884326043649,2020-07-15 10:45:07+00:00,4856811553,@matcha_chai They got you.,They got you.,-1
1283351891145940992,2020-07-15 10:45:09+00:00,1281153864557686784,@matcha_chai They know exactly who they are nabbing thanks to undercovers.,They know exactly who they are nabbing thanks to undercovers.,-1
1283371067835404289,2020-07-15 12:01:21+00:00,1037269378092474368,@matcha_chai @mathemattic Another kidnapping,Another kidnapping,-1
1283394083021484032,2020-07-15 13:32:48+00:00,356339074,@matcha_chai Hi Matcha!  I sent you a DM.  We @KOINNews are interested in your video!  Please check my DM or shoot us an email us at news@koin.com.  Thanks for your time!,Hi Matcha!  I sent you a DM.  We  are interested in your video!  Please check my DM or shoot us an email us at news.com.  Thanks for your time!,-1
1283408199446491136,2020-07-15 14:28:53+00:00,1219482896,@matcha_chai This is also how they arrest CI just fyi...,This is also how they arrest CI just fyi...,-1
1283410899714351104,2020-07-15 14:39:37+00:00,242501459,@matcha_chai WT very F ?!?!?!?,WT very F ?!?!?!?,-1
1283411086293766144,2020-07-15 14:40:22+00:00,122435888,@matcha_chai Gestapo at work,Gestapo at work,-1
1283416470509125632,2020-07-15 15:01:45+00:00,1086283879709761537,@matcha_chai Why wouldn’t he give his name? Does anyone know this person? Maybe I’m a lil paranoid after the story in the news that the feds have put out an average of 15 undercovers in the crowd every night,Why wouldn’t he give his name? Does anyone know this person? Maybe I’m a lil paranoid after the story in the news that the feds have put out an average of 15 undercovers in the crowd every night,-1
